model,S,seed,acc,acc_at_train_T,seconds
lti,2,0,0.229,,159.00686597824097
lti,2,1,0.245,,157.1782865524292
lti,2,2,0.247,,155.4891014099121
lti,4,0,0.311,,178.65552616119385
lti,4,1,0.261,,144.50126147270203
lti,4,2,0.278,,145.37103962898254
lti,6,0,0.302,,152.13652205467224
lti,6,1,0.314,,153.67047905921936
lti,6,2,0.31,,152.6132493019104
lti,8,0,0.231,,163.42163586616516
lti,8,1,0.32,,164.10740280151367
lti,8,2,0.357,,162.5569612979889
lti,10,0,0.255,,178.96686458587646
lti,10,1,0.315,,179.18319010734558
lti,10,2,0.363,,180.63400721549988
lti,12,0,0.298,,191.16207766532898
lti,12,1,0.476,,190.33306789398193
lti,12,2,0.359,,191.0128688812256
lti,16,0,0.33,,210.64033579826355
lti,16,1,0.471,,208.62996196746826
lti,16,2,0.354,,208.1367576122284
lti,24,0,0.435,,259.352251291275
lti,24,1,0.499,,259.17847537994385
lti,24,2,0.539,,258.496057510376
lti,32,0,0.469,,311.3509247303009
lti,32,1,0.57,,308.05455255508423
lti,32,2,0.564,,313.6913318634033
lti,48,0,0.564,,401.2811942100525
lti,48,1,0.631,,406.85458755493164
lti,48,2,0.565,,409.01833319664
lti,64,0,0.569,,503.1071791648865
lti,64,1,0.61,,497.2218885421753
lti,64,2,0.632,,495.477730512619
selective,2,0,0.235,,132.87198042869568
selective,2,1,0.25,,135.12505531311035
selective,2,2,0.252,,135.36621642112732
selective,4,0,0.293,,144.8713617324829
selective,4,1,0.276,,146.8642807006836
selective,4,2,0.271,,145.74900317192078
selective,6,0,0.26,,155.1393871307373
selective,6,1,0.277,,155.14127230644226
selective,6,2,0.307,,153.85213088989258
selective,8,0,0.275,,162.97791361808777
selective,8,1,0.316,,167.53120398521423
selective,8,2,0.352,,166.7606885433197
selective,10,0,0.248,,179.5932605266571
selective,10,1,0.301,,177.42565608024597
selective,10,2,0.327,,179.25858354568481
selective,12,0,0.275,,192.20071291923523
selective,12,1,0.448,,189.48549962043762
selective,12,2,0.31,,189.77058053016663
selective,16,0,0.319,,207.44229912757874
selective,16,1,0.447,,210.36499118804932
selective,16,2,0.363,,208.70442867279053
selective,24,0,0.43,,257.0725371837616
selective,24,1,0.532,,261.4153664112091
selective,24,2,0.538,,261.2823054790497
selective,32,0,0.445,,313.0275025367737
selective,32,1,0.553,,309.4192581176758
selective,32,2,0.585,,311.459591627121
selective,48,0,0.457,,411.261447429657
selective,48,1,0.556,,410.8236653804779
selective,48,2,0.567,,409.12867522239685
selective,64,0,0.515,,502.8925082683563
selective,64,1,0.583,,499.4374074935913
selective,64,2,0.557,,495.10293912887573
lti_aux,8,0,0.271,0.301,326.90160870552063
lti_aux,8,1,0.33,0.305,336.78351879119873
lti_aux,8,2,0.345,0.309,330.8918447494507
lti_aux,16,0,0.33,0.312,386.8794071674347
lti_aux,16,1,0.411,0.392,349.46715354919434
lti_aux,16,2,0.335,0.318,351.6929154396057
lti_aux,32,0,0.428,0.38,479.0146496295929
lti_aux,32,1,0.5,0.478,489.6675274372101
lti_aux,32,2,0.577,0.548,486.29659605026245
lti_aux,64,0,0.518,0.496,776.3793740272522
lti_aux,64,1,0.545,0.517,756.4771754741669
lti_aux,64,2,0.624,0.552,766.0854229927063
lti_pool,2,0,0.229,0.213,207.18965458869934
lti_pool,2,1,0.245,0.233,199.2786455154419
lti_pool,2,2,0.247,0.214,202.13117027282715
lti_pool,4,0,0.311,0.267,221.38223600387573
lti_pool,4,1,0.261,0.269,221.75735473632812
lti_pool,4,2,0.278,0.281,226.3790237903595
lti_pool,8,0,0.231,0.292,244.99425077438354
lti_pool,8,1,0.32,0.302,237.96199655532837
lti_pool,8,2,0.357,0.312,239.98886966705322
shift,4,0,0.204,0.193,196.3299789428711
shift,4,1,0.203,0.214,194.83715438842773
shift,4,2,0.2,0.201,200.16180086135864
shift,6,0,0.356,0.377,195.8082401752472
shift,6,1,0.456,0.419,105.68201947212219
shift,6,2,0.433,0.427,105.48521113395691
shift,8,0,0.475,0.433,105.27424955368042
shift,8,1,0.465,0.428,109.47403764724731
shift,8,2,0.448,0.414,101.69333267211914
shift,9,0,0.465,0.453,105.92891049385071
shift,9,1,0.493,0.452,107.18201065063477
shift,9,2,0.458,0.423,114.15976405143738
shift,12,0,0.576,0.517,106.78841042518616
shift,12,1,0.509,0.475,104.95970702171326
shift,12,2,0.494,0.464,105.76262259483337
shift,16,0,0.548,0.501,112.72349405288696
shift,16,1,0.504,0.451,107.86786651611328
shift,16,2,0.5,0.45,106.95834398269653
shift,32,0,0.527,0.468,115.76784920692444
shift,32,1,0.54,0.485,120.12412571907043
shift,32,2,0.542,0.488,110.75716638565063
oracle,2,0,0.1,,0.0
oracle,2,1,0.1,,0.0
oracle,2,2,0.1,,0.0
oracle,4,0,0.299,,0.0
oracle,4,1,0.3,,0.0
oracle,4,2,0.3,,0.0
oracle,6,0,0.586,,0.0
oracle,6,1,0.581,,0.0
oracle,6,2,0.592,,0.0
oracle,8,0,0.96,,0.0
oracle,8,1,0.952,,0.0
oracle,8,2,0.968,,0.0
oracle,10,0,0.98,,0.0
oracle,10,1,0.977,,0.0
oracle,10,2,0.982,,0.0
oracle,12,0,0.979,,0.0
oracle,12,1,0.982,,0.0
oracle,12,2,0.981,,0.0
oracle,16,0,0.979,,0.0
oracle,16,1,0.986,,0.0
oracle,16,2,0.984,,0.0
oracle,24,0,0.98,,0.0
oracle,24,1,0.986,,0.0
oracle,24,2,0.984,,0.0
oracle,32,0,0.979,,0.0
oracle,32,1,0.982,,0.0
oracle,32,2,0.985,,0.0
oracle,48,0,0.982,,0.0
oracle,48,1,0.981,,0.0
oracle,48,2,0.983,,0.0
oracle,64,0,0.981,,0.0
oracle,64,1,0.981,,0.0
oracle,64,2,0.983,,0.0
